Item,TVA,Prix,Catégorie,Fondation:POINTS;
Coca-cola (33cl),5.5,300,Soft,NG:Bar des sports:Bar de l'Île:Bar NG:Bar espace VIP:Bar loges VIP:Bar la source
Perrier (33cl),5.5,300,Soft,NG:Bar des sports:Bar de l'Île:Bar NG:Bar espace VIP:Bar loges VIP:Bar la source
Orangina (33cl),5.5,300,Soft,NG:Bar des sports:Bar de l'Île:Bar NG:Bar espace VIP:Bar loges VIP:Bar la source
Jus de Pomme (33cl),5.5,300,Soft,NG:Bar des sports:Bar de l'Île:Bar NG:Bar espace VIP:Bar loges VIP:Bar la source
Ice Tea (33cl),5.5,300,Soft,NG:Bar des sports:Bar de l'Île:Bar NG:Bar espace VIP:Bar loges VIP:Bar la source
Red Bull (25cl),5.5,400,Soft,NG:Bar des sports:Bar de l'Île:Bar NG:Bar espace VIP:Bar loges VIP:Bar la source
Eau (50cl),5.5,150,Soft,NG:Bar des sports:Bar de l'Île:Bar NG:Bar espace VIP:Bar loges VIP:Bar la source
Eau (1L),5.5,250,Soft,NG:Bar des sports:Bar de l'Île:Bar NG:Bar espace VIP:Bar loges VIP:Bar la source
Café,5.5,100,Soft,NG:Bar de l'Île:Bar espace VIP
Carlsberg (25cl),20,350,Boisson alcoolisée,NG:Bar des sports:Bar de l'Île:Bar NG:Bar espace VIP:Bar loges VIP:Bar la source
Carlsberg (50cl),20,650,Boisson alcoolisée,NG:Bar des sports:Bar de l'Île:Bar NG:Bar espace VIP:Bar loges VIP:Bar la source
1664 (25cl),20,400,Boisson alcoolisée,NG:Bar des sports:Bar de l'Île:Bar NG:Bar espace VIP:Bar loges VIP:Bar la source
1664 (50cl),20,750,Boisson alcoolisée,NG:Bar des sports:Bar de l'Île:Bar NG:Bar espace VIP:Bar loges VIP:Bar la source
Skoll (25cl),20,400,Boisson alcoolisée,NG:Bar des sports:Bar de l'Île:Bar NG:Bar espace VIP:Bar loges VIP:Bar la source
Skoll (50cl),20,750,Boisson alcoolisée,NG:Bar des sports:Bar de l'Île:Bar NG:Bar espace VIP:Bar loges VIP:Bar la source
Bouteille de Champagne,20,6000,Boisson alcoolisée,NG:Bar de l'Île:Bar espace VIP:Bar loges VIP
Verre de vin (25cl),20,300,Boisson alcoolisée,NG:Bar des sports:Bar de l'Île:Bar NG:Bar espace VIP:Bar loges VIP:Bar la source
Bouteille de vin (75cl),20,2000,Boisson alcoolisée,NG:Bar des sports:Bar de l'Île:Bar NG:Bar espace VIP:Bar loges VIP:Bar la source
Magnum,20,3000,Boisson alcoolisée,NG:Bar espace VIP
T-shirt classic,20,1800,Shop NG,NG:Shop NG
T-shirt ancien,20,1000,Shop NG,NG:Shop NG
T-shirt enfant,20,1000,Shop NG,NG:Shop NG
Sweat-shirt,20,4500,Shop NG,NG:Shop NG
Robe,20,1000,Shop NG,NG:Shop NG
Casquette,20,2000,Shop NG,NG:Shop NG
Tote-bag 2016,20,400,Shop NG,NG:Shop NG
Tote-bag 2017,20,500,Shop NG,NG:Shop NG
